Issue ID,Date,Service Line,Issue Type,Severity,Root Cause,Hours Delayed,Fee at Risk (USD),Subcontractor Involved,Deadline Breach,Tool / Vendor,Description
DEL-ENG-1003,2026-01-01,Financial Advisory,Scope Creep,High,Resource Planning Gap,36,63011,No,No,ServiceNow,"Additional workstream added mid-engagement on Financial Advisory without a change order — plan was not re-baselined, so the budget no longer reflects reality."
DEL-ENG-1030,2026-01-02,Risk Advisory,Client Data Risk,Low,Tooling / Platform Failure,3,452,Yes,No,Workiva,"Sensitive client data on Risk Advisory was shared over an unmanaged channel before the secure room was ready. Near miss — contained, no exposure confirmed."
DEL-ENG-1060,2026-01-03,Cyber & Managed Services,Quality Review Finding,Low,Change Control Failure,2,6252,Yes,No,Local Subcontractor A,EQCR reviewer flagged inconsistent referencing in the Cyber & Managed Services deliverable. Rework required — review checklist had been skipped under deadline pressure.
DEL-ENG-1086,2026-01-03,Audit & Assurance,Access Provisioning Delay,Low,External Factor (client / regulator),4,2160,No,No,Alteryx,Client-system access for the Audit & Assurance team took 20 hours to provision; process gap on the joiner / access request workflow.
DEL-ENG-1080,2026-01-04,Financial Advisory,Resource Shortfall,Medium,Human Error,14,25611,Yes,No,Microsoft,Two senior associates rolled off Financial Advisory to a higher-priority deal; replacement onboarding took 36 hours and slipped the milestone.
DEL-ENG-1093,2026-01-05,Consulting,Access Provisioning Delay,Low,Estimation Error,4,2095,No,No,Microsoft,Client-system access for the Consulting team took 18 hours to provision; process gap on the joiner / access request workflow.
DEL-ENG-1088,2026-01-06,Risk Advisory,Quality Review Finding,Medium,Inadequate Review,5,58383,Yes,No,AWS,EQCR reviewer flagged inconsistent referencing in the Risk Advisory deliverable. Rework required — review checklist had been skipped under deadline pressure.
DEL-ENG-1008,2026-01-07,Technology & Transformation,Budget Overrun,Low,Resource Planning Gap,5,7235,No,No,ServiceNow,Technology & Transformation engagement tracking 3% over budget; root cause traced to scope added without a re-baseline of the plan.
DEL-ENG-1079,2026-01-11,Tax & Legal,Access Provisioning Delay,Medium,Estimation Error,4,15546,Yes,No,ServiceNow,Client-system access for the Tax & Legal team took 24 hours to provision; process gap on the joiner / access request workflow.
DEL-ENG-1083,2026-01-11,Risk Advisory,Milestone Slippage,Medium,Change Control Failure,15,42754,No,No,Workiva,"Risk Advisory milestone slipped 2 hours. Capacity forecast had flagged the crunch in the last engagement review, but no action was taken."
DEL-ENG-1084,2026-01-11,Financial Advisory,Data Request Delay,Critical,Inadequate Review,96,294082,No,No,Tableau,Client provided source data 8 days late on Financial Advisory; fieldwork compressed to hold the deadline. Recurring on this account.
DEL-ENG-1095,2026-01-12,Consulting,Model Error,Critical,Quality Process Gap,24,480837,No,Yes,Workiva,"Formula error found in the Consulting valuation model — built by a subcontractor, deployed without an independent review pass."
DEL-ENG-1031,2026-01-13,Technology & Transformation,Budget Overrun,Medium,Independence / Compliance Gap,7,59102,No,No,Local Subcontractor B,Technology & Transformation engagement tracking 2% over budget; root cause traced to scope added without a re-baseline of the plan.
DEL-ENG-1057,2026-01-13,Technology & Transformation,Subcontractor Quality Issue,Low,Human Error,6,8665,Yes,No,Alteryx,Subcontractor deliverable on Technology & Transformation returned below standard; QA gate had not been enforced before client submission.
DEL-ENG-1061,2026-01-13,Consulting,Platform Outage,Low,Inadequate Review,1,2998,No,Yes,AWS,AWS workpaper platform unavailable for 20 minutes during peak Consulting close; teams reverted to offline copies and re-synced.
DEL-ENG-1001,2026-01-16,Tax & Legal,Budget Overrun,Low,Human Error,6,1881,No,No,Local Subcontractor B,Tax & Legal engagement tracking 45% over budget; root cause traced to scope added without a re-baseline of the plan.
DEL-ENG-1056,2026-01-16,Tax & Legal,Independence Conflict,Medium,Human Error,8,34178,Yes,No,AWS,Potential independence conflict identified late on Tax & Legal engagement; clearance re-run delayed the start by 18 hours.
DEL-ENG-1091,2026-01-16,Financial Advisory,Platform Outage,Low,External Factor (client / regulator),0,2986,No,No,SAP,SAP workpaper platform unavailable for 24 minutes during peak Financial Advisory close; teams reverted to offline copies and re-synced.
DEL-ENG-1018,2026-01-20,Financial Advisory,Subcontractor Quality Issue,High,Scope Definition Gap,14,162065,No,Yes,Alteryx,Subcontractor deliverable on Financial Advisory returned below standard; QA gate had not been enforced before client submission.
DEL-ENG-1087,2026-01-20,Tax & Legal,Milestone Slippage,High,Estimation Error,37,123578,No,Yes,Alteryx,"Tax & Legal milestone slipped 24 hours. Capacity forecast had flagged the crunch in the last engagement review, but no action was taken."
DEL-ENG-1048,2026-01-21,Audit & Assurance,Sign-off Bottleneck,High,Human Error,8,158187,Yes,Yes,Local Subcontractor A,Single approver unavailable held up Audit & Assurance sign-off for 4 hours; no documented back-up approver on the engagement.
DEL-ENG-1076,2026-01-21,Financial Advisory,Quality Review Finding,Low,Resource Planning Gap,3,7296,Yes,No,ServiceNow,EQCR reviewer flagged inconsistent referencing in the Financial Advisory deliverable. Rework required — review checklist had been skipped under deadline pressure.
DEL-ENG-1053,2026-01-23,Consulting,Subcontractor Quality Issue,Medium,Estimation Error,16,30842,No,No,Local Subcontractor B,Subcontractor deliverable on Consulting returned below standard; QA gate had not been enforced before client submission.
DEL-ENG-1042,2026-01-25,Consulting,Model Error,Medium,Inadequate Review,16,8348,No,No,Local Subcontractor A,"Formula error found in the Consulting valuation model — built by a subcontractor, deployed without an independent review pass."
DEL-ENG-1046,2026-01-25,Consulting,Sign-off Bottleneck,High,Change Control Failure,26,153643,Yes,Yes,Microsoft,Single approver unavailable held up Consulting sign-off for 8 hours; no documented back-up approver on the engagement.
DEL-ENG-1015,2026-01-26,Consulting,Scope Creep,Medium,Change Control Failure,6,51809,No,No,Microsoft,"Additional workstream added mid-engagement on Consulting without a change order — plan was not re-baselined, so the budget no longer reflects reality."
DEL-ENG-1041,2026-01-26,Tax & Legal,Platform Outage,Medium,Inadequate Review,10,61178,No,No,Local Subcontractor B,Local Subcontractor B workpaper platform unavailable for 12 minutes during peak Tax & Legal close; teams reverted to offline copies and re-synced.
DEL-ENG-1078,2026-01-27,Tax & Legal,Model Error,Low,Change Control Failure,4,8093,Yes,No,ServiceNow,"Formula error found in the Tax & Legal valuation model — built by a subcontractor, deployed without an independent review pass."
DEL-ENG-1054,2026-01-28,Consulting,Milestone Slippage,Low,Human Error,5,2290,No,No,SAP,"Consulting milestone slipped 18 hours. Capacity forecast had flagged the crunch in the last engagement review, but no action was taken."
DEL-ENG-1021,2026-01-30,Technology & Transformation,Access Provisioning Delay,Critical,Knowledge Transfer Gap,28,384990,No,Yes,Local Subcontractor A,Client-system access for the Technology & Transformation team took 2 hours to provision; process gap on the joiner / access request workflow.
DEL-ENG-1004,2026-02-02,Tax & Legal,Sign-off Bottleneck,Medium,Knowledge Transfer Gap,13,41658,No,No,SAP,Single approver unavailable held up Tax & Legal sign-off for 45 hours; no documented back-up approver on the engagement.
DEL-ENG-1055,2026-02-04,Cyber & Managed Services,Client Data Risk,Medium,Client-Side Delay,10,49082,Yes,No,Oracle,"Sensitive client data on Cyber & Managed Services was shared over an unmanaged channel before the secure room was ready. Near miss — contained, no exposure confirmed."
DEL-ENG-1033,2026-02-07,Cyber & Managed Services,Platform Outage,Critical,Estimation Error,79,204812,Yes,Yes,SAP,SAP workpaper platform unavailable for 12 minutes during peak Cyber & Managed Services close; teams reverted to offline copies and re-synced.
DEL-ENG-1074,2026-02-08,Consulting,Budget Overrun,Medium,Change Control Failure,3,38516,No,No,Alteryx,Consulting engagement tracking 4% over budget; root cause traced to scope added without a re-baseline of the plan.
DEL-ENG-1024,2026-02-09,Consulting,Platform Outage,High,Inadequate Review,39,168983,Yes,Yes,Local Subcontractor A,Local Subcontractor A workpaper platform unavailable for 36 minutes during peak Consulting close; teams reverted to offline copies and re-synced.
DEL-ENG-1052,2026-02-11,Risk Advisory,Budget Overrun,Medium,Independence / Compliance Gap,16,66858,No,No,AWS,Risk Advisory engagement tracking 18% over budget; root cause traced to scope added without a re-baseline of the plan.
DEL-ENG-1064,2026-02-11,Cyber & Managed Services,Independence Conflict,Critical,Inadequate Review,41,202831,No,Yes,Tableau,Potential independence conflict identified late on Cyber & Managed Services engagement; clearance re-run delayed the start by 5 hours.
DEL-ENG-1067,2026-02-11,Risk Advisory,Platform Outage,Medium,Independence / Compliance Gap,4,13116,No,No,Oracle,Oracle workpaper platform unavailable for 12 minutes during peak Risk Advisory close; teams reverted to offline copies and re-synced.
DEL-ENG-1039,2026-02-13,Technology & Transformation,Budget Overrun,Low,Independence / Compliance Gap,0,386,No,No,Microsoft,Technology & Transformation engagement tracking 5% over budget; root cause traced to scope added without a re-baseline of the plan.
DEL-ENG-1051,2026-02-14,Audit & Assurance,Scope Creep,Low,Resource Planning Gap,6,8307,No,No,ServiceNow,"Additional workstream added mid-engagement on Audit & Assurance without a change order — plan was not re-baselined, so the budget no longer reflects reality."
DEL-ENG-1019,2026-02-15,Cyber & Managed Services,Data Request Delay,Critical,Inadequate Review,65,895961,No,Yes,SAP,Client provided source data 36 days late on Cyber & Managed Services; fieldwork compressed to hold the deadline. Recurring on this account.
DEL-ENG-1036,2026-02-15,Risk Advisory,Deliverable Rework,Medium,Knowledge Transfer Gap,12,22389,No,No,Microsoft,"Partner sent the Risk Advisory report back for rework — the brief had changed but the change was never written down, so the team built to the old scope."
DEL-ENG-1065,2026-02-17,Tax & Legal,Budget Overrun,Low,Knowledge Transfer Gap,2,3776,No,No,SAP,Tax & Legal engagement tracking 20% over budget; root cause traced to scope added without a re-baseline of the plan.
DEL-ENG-1007,2026-02-20,Financial Advisory,Independence Conflict,Low,External Factor (client / regulator),3,8604,No,Yes,ServiceNow,Potential independence conflict identified late on Financial Advisory engagement; clearance re-run delayed the start by 4 hours.
DEL-ENG-1032,2026-02-21,Tax & Legal,Regulatory Filing Delay,High,Inadequate Review,35,237188,No,No,Workiva,Statutory filing for the Tax & Legal client at risk; Workiva feed reconciliation failed overnight and was not caught until morning.
DEL-ENG-1058,2026-02-21,Technology & Transformation,Resource Shortfall,Critical,Change Control Failure,113,444423,Yes,Yes,Local Subcontractor B,Two senior associates rolled off Technology & Transformation to a higher-priority deal; replacement onboarding took 24 hours and slipped the milestone.
DEL-ENG-1092,2026-02-21,Audit & Assurance,Quality Review Finding,High,Tooling / Platform Failure,18,197552,Yes,Yes,Workiva,EQCR reviewer flagged inconsistent referencing in the Audit & Assurance deliverable. Rework required — review checklist had been skipped under deadline pressure.
DEL-ENG-1014,2026-02-22,Consulting,Milestone Slippage,Low,Resource Planning Gap,0,7592,No,No,SAP,"Consulting milestone slipped 8 hours. Capacity forecast had flagged the crunch in the last engagement review, but no action was taken."
DEL-ENG-1043,2026-02-22,Cyber & Managed Services,Data Request Delay,Medium,Resource Planning Gap,6,32431,No,No,SAP,Client provided source data 2 days late on Cyber & Managed Services; fieldwork compressed to hold the deadline. Recurring on this account.
DEL-ENG-1002,2026-02-23,Cyber & Managed Services,Regulatory Filing Delay,Medium,Estimation Error,14,58339,No,No,Tableau,Statutory filing for the Cyber & Managed Services client at risk; Tableau feed reconciliation failed overnight and was not caught until morning.
DEL-ENG-1034,2026-02-23,Tax & Legal,Regulatory Filing Delay,Low,Change Control Failure,2,3434,No,No,SAP,Statutory filing for the Tax & Legal client at risk; SAP feed reconciliation failed overnight and was not caught until morning.
DEL-ENG-1038,2026-02-23,Tax & Legal,Platform Outage,High,Human Error,45,83447,No,Yes,Local Subcontractor A,Local Subcontractor A workpaper platform unavailable for 12 minutes during peak Tax & Legal close; teams reverted to offline copies and re-synced.
DEL-ENG-1069,2026-02-24,Financial Advisory,Client Data Risk,Medium,Change Control Failure,5,59883,No,No,Tableau,"Sensitive client data on Financial Advisory was shared over an unmanaged channel before the secure room was ready. Near miss — contained, no exposure confirmed."
DEL-ENG-1012,2026-02-25,Financial Advisory,Model Error,Low,Tooling / Platform Failure,2,7698,No,Yes,Local Subcontractor A,"Formula error found in the Financial Advisory valuation model — built by a subcontractor, deployed without an independent review pass."
DEL-ENG-1025,2026-02-26,Audit & Assurance,Budget Overrun,Low,Tooling / Platform Failure,6,1749,No,No,SAP,Audit & Assurance engagement tracking 36% over budget; root cause traced to scope added without a re-baseline of the plan.
DEL-ENG-1013,2026-02-27,Consulting,Deliverable Rework,Low,Inadequate Review,0,4565,No,No,ServiceNow,"Partner sent the Consulting report back for rework — the brief had changed but the change was never written down, so the team built to the old scope."
DEL-ENG-1022,2026-02-27,Cyber & Managed Services,Subcontractor Quality Issue,Medium,Inadequate Review,13,52474,No,No,Local Subcontractor A,Subcontractor deliverable on Cyber & Managed Services returned below standard; QA gate had not been enforced before client submission.
DEL-ENG-1073,2026-02-28,Consulting,Resource Shortfall,Medium,Client-Side Delay,12,18085,No,No,Local Subcontractor A,Two senior associates rolled off Consulting to a higher-priority deal; replacement onboarding took 2 hours and slipped the milestone.
DEL-ENG-1082,2026-02-28,Risk Advisory,Regulatory Filing Delay,Medium,Scope Definition Gap,16,53756,No,No,Workiva,Statutory filing for the Risk Advisory client at risk; Workiva feed reconciliation failed overnight and was not caught until morning.
DEL-ENG-1006,2026-03-01,Risk Advisory,Scope Creep,Medium,External Factor (client / regulator),10,40666,No,No,Local Subcontractor B,"Additional workstream added mid-engagement on Risk Advisory without a change order — plan was not re-baselined, so the budget no longer reflects reality."
DEL-ENG-1020,2026-03-01,Financial Advisory,Regulatory Filing Delay,Low,Client-Side Delay,4,8713,Yes,No,Tableau,Statutory filing for the Financial Advisory client at risk; Tableau feed reconciliation failed overnight and was not caught until morning.
DEL-ENG-1059,2026-03-02,Cyber & Managed Services,Sign-off Bottleneck,Medium,Scope Definition Gap,2,57628,Yes,No,Workiva,Single approver unavailable held up Cyber & Managed Services sign-off for 18 hours; no documented back-up approver on the engagement.
DEL-ENG-1085,2026-03-03,Financial Advisory,Data Request Delay,High,Independence / Compliance Gap,16,66968,Yes,Yes,Local Subcontractor A,Client provided source data 12 days late on Financial Advisory; fieldwork compressed to hold the deadline. Recurring on this account.
DEL-ENG-1063,2026-03-07,Consulting,Sign-off Bottleneck,Medium,Human Error,7,30515,No,No,Workiva,Single approver unavailable held up Consulting sign-off for 36 hours; no documented back-up approver on the engagement.
DEL-ENG-1075,2026-03-07,Audit & Assurance,Milestone Slippage,Critical,Resource Planning Gap,69,794475,No,No,Alteryx,"Audit & Assurance milestone slipped 2 hours. Capacity forecast had flagged the crunch in the last engagement review, but no action was taken."
DEL-ENG-1023,2026-03-08,Consulting,Resource Shortfall,Medium,Client-Side Delay,8,25878,No,No,SAP,Two senior associates rolled off Consulting to a higher-priority deal; replacement onboarding took 24 hours and slipped the milestone.
DEL-ENG-1062,2026-03-08,Technology & Transformation,Regulatory Filing Delay,Medium,Resource Planning Gap,2,25752,No,Yes,Local Subcontractor A,Statutory filing for the Technology & Transformation client at risk; Local Subcontractor A feed reconciliation failed overnight and was not caught until morning.
DEL-ENG-1081,2026-03-08,Risk Advisory,Sign-off Bottleneck,High,Independence / Compliance Gap,39,96162,Yes,Yes,ServiceNow,Single approver unavailable held up Risk Advisory sign-off for 18 hours; no documented back-up approver on the engagement.
DEL-ENG-1090,2026-03-08,Tax & Legal,Independence Conflict,Low,Estimation Error,4,630,No,No,Oracle,Potential independence conflict identified late on Tax & Legal engagement; clearance re-run delayed the start by 45 hours.
DEL-ENG-1068,2026-03-09,Financial Advisory,Client Data Risk,Medium,Resource Planning Gap,16,47934,No,Yes,ServiceNow,"Sensitive client data on Financial Advisory was shared over an unmanaged channel before the secure room was ready. Near miss — contained, no exposure confirmed."
DEL-ENG-1089,2026-03-09,Audit & Assurance,Milestone Slippage,Low,Knowledge Transfer Gap,5,757,No,No,Workiva,"Audit & Assurance milestone slipped 5 hours. Capacity forecast had flagged the crunch in the last engagement review, but no action was taken."
DEL-ENG-1005,2026-03-10,Tax & Legal,Independence Conflict,Medium,Human Error,13,54950,No,Yes,Alteryx,Potential independence conflict identified late on Tax & Legal engagement; clearance re-run delayed the start by 18 hours.
DEL-ENG-1044,2026-03-10,Consulting,Client Data Risk,Low,External Factor (client / regulator),2,931,No,No,Local Subcontractor A,"Sensitive client data on Consulting was shared over an unmanaged channel before the secure room was ready. Near miss — contained, no exposure confirmed."
DEL-ENG-1037,2026-03-11,Technology & Transformation,Budget Overrun,Medium,Tooling / Platform Failure,14,17678,Yes,Yes,Local Subcontractor A,Technology & Transformation engagement tracking 36% over budget; root cause traced to scope added without a re-baseline of the plan.
DEL-ENG-1070,2026-03-13,Technology & Transformation,Client Data Risk,Low,Independence / Compliance Gap,5,6622,No,No,ServiceNow,"Sensitive client data on Technology & Transformation was shared over an unmanaged channel before the secure room was ready. Near miss — contained, no exposure confirmed."
DEL-ENG-1027,2026-03-15,Cyber & Managed Services,Budget Overrun,High,External Factor (client / regulator),25,205699,No,No,Local Subcontractor B,Cyber & Managed Services engagement tracking 12% over budget; root cause traced to scope added without a re-baseline of the plan.
DEL-ENG-1049,2026-03-18,Financial Advisory,Quality Review Finding,High,Independence / Compliance Gap,39,88152,No,No,Local Subcontractor B,EQCR reviewer flagged inconsistent referencing in the Financial Advisory deliverable. Rework required — review checklist had been skipped under deadline pressure.
DEL-ENG-1071,2026-03-19,Financial Advisory,Access Provisioning Delay,Low,Estimation Error,1,2350,No,No,Local Subcontractor B,Client-system access for the Financial Advisory team took 2 hours to provision; process gap on the joiner / access request workflow.
DEL-ENG-1035,2026-03-21,Audit & Assurance,Scope Creep,Critical,Change Control Failure,69,805950,No,Yes,Local Subcontractor B,"Additional workstream added mid-engagement on Audit & Assurance without a change order — plan was not re-baselined, so the budget no longer reflects reality."
DEL-ENG-1009,2026-03-22,Technology & Transformation,Milestone Slippage,Medium,Estimation Error,16,43758,Yes,No,Workiva,"Technology & Transformation milestone slipped 45 hours. Capacity forecast had flagged the crunch in the last engagement review, but no action was taken."
DEL-ENG-1029,2026-03-22,Audit & Assurance,Budget Overrun,High,External Factor (client / regulator),12,136293,No,Yes,Workiva,Audit & Assurance engagement tracking 3% over budget; root cause traced to scope added without a re-baseline of the plan.
DEL-ENG-1010,2026-03-24,Financial Advisory,Access Provisioning Delay,Medium,Knowledge Transfer Gap,8,21273,Yes,No,Microsoft,Client-system access for the Financial Advisory team took 4 hours to provision; process gap on the joiner / access request workflow.
DEL-ENG-1026,2026-03-24,Tax & Legal,Deliverable Rework,Medium,Human Error,4,9781,No,No,Local Subcontractor A,"Partner sent the Tax & Legal report back for rework — the brief had changed but the change was never written down, so the team built to the old scope."
DEL-ENG-1047,2026-03-24,Risk Advisory,Deliverable Rework,Medium,Change Control Failure,4,55315,No,No,Local Subcontractor A,"Partner sent the Risk Advisory report back for rework — the brief had changed but the change was never written down, so the team built to the old scope."
DEL-ENG-1050,2026-03-24,Audit & Assurance,Platform Outage,Medium,Inadequate Review,3,44411,No,No,Tableau,Tableau workpaper platform unavailable for 8 minutes during peak Audit & Assurance close; teams reverted to offline copies and re-synced.
DEL-ENG-1066,2026-03-24,Technology & Transformation,Budget Overrun,Medium,Tooling / Platform Failure,9,48397,Yes,No,Local Subcontractor A,Technology & Transformation engagement tracking 8% over budget; root cause traced to scope added without a re-baseline of the plan.
DEL-ENG-1011,2026-03-25,Financial Advisory,Milestone Slippage,Low,Inadequate Review,2,3474,Yes,No,Local Subcontractor A,"Financial Advisory milestone slipped 36 hours. Capacity forecast had flagged the crunch in the last engagement review, but no action was taken."
DEL-ENG-1045,2026-03-26,Consulting,Budget Overrun,High,Client-Side Delay,32,147453,No,Yes,Local Subcontractor B,Consulting engagement tracking 15% over budget; root cause traced to scope added without a re-baseline of the plan.
DEL-ENG-1077,2026-03-26,Risk Advisory,Quality Review Finding,Medium,Change Control Failure,15,35654,No,No,Alteryx,EQCR reviewer flagged inconsistent referencing in the Risk Advisory deliverable. Rework required — review checklist had been skipped under deadline pressure.
DEL-ENG-1016,2026-03-27,Financial Advisory,Regulatory Filing Delay,Low,Inadequate Review,5,2409,No,No,Oracle,Statutory filing for the Financial Advisory client at risk; Oracle feed reconciliation failed overnight and was not caught until morning.
DEL-ENG-1028,2026-03-27,Financial Advisory,Resource Shortfall,High,Tooling / Platform Failure,14,174308,Yes,No,Oracle,Two senior associates rolled off Financial Advisory to a higher-priority deal; replacement onboarding took 15 hours and slipped the milestone.
DEL-ENG-1072,2026-03-27,Cyber & Managed Services,Data Request Delay,High,Tooling / Platform Failure,19,96487,Yes,Yes,Alteryx,Client provided source data 4 days late on Cyber & Managed Services; fieldwork compressed to hold the deadline. Recurring on this account.
DEL-ENG-1040,2026-03-28,Financial Advisory,Client Data Risk,High,Estimation Error,33,154353,No,Yes,Workiva,"Sensitive client data on Financial Advisory was shared over an unmanaged channel before the secure room was ready. Near miss — contained, no exposure confirmed."
DEL-ENG-1017,2026-03-30,Financial Advisory,Independence Conflict,Critical,Human Error,44,321920,No,No,AWS,Potential independence conflict identified late on Financial Advisory engagement; clearance re-run delayed the start by 24 hours.
DEL-ENG-1094,2026-03-30,Risk Advisory,Client Data Risk,Low,Human Error,0,3313,No,No,Microsoft,"Sensitive client data on Risk Advisory was shared over an unmanaged channel before the secure room was ready. Near miss — contained, no exposure confirmed."
